Posting Date;Simplified Description;Transaction Description;Reference;Additional Information;Transaction Type;Category;Subcategory;Debit;Credit;Transaction Date;Value Date;Reconciliation Flag
28/06/2026;HORIZON WORKSHOP DEMO;SEPA TRANSFER HORIZON WORKSHOP SALARY 2026-06;DEMO202606000410;NET SALARY 2026-06 - FICTIONAL DATA;Incoming Bank Transfer;Salary & Income;Salary;;+2980,00;28/06/2026;28/06/2026;0
27/06/2026;INTERMARCHE;CARD INTERMARCHE PURCHASE 260626;DEMO202606000428;;Card Payment;Food;Supermarket;-47,34;;26/06/2026;27/06/2026;0
26/06/2026;UBER;CARD UBER TRIP PURCHASE 250626;DEMO202606000432;;Card Payment;Transportation;Taxi & Ride-Hailing;-11,97;;25/06/2026;26/06/2026;0
24/06/2026;NAVIGO;SEPA DIRECT DEBIT NAVIGO 2026-06;DEMO202606000421;DEMO SUBSCRIPTION;Direct Debit;Transportation;Public Transportation;-86,40;;24/06/2026;24/06/2026;0
23/06/2026;CENTRAL BISTRO;CARD CENTRAL BISTRO PURCHASE 220626;DEMO202606000430;;Card Payment;Food;Restaurants & Cafes;-41,26;;22/06/2026;23/06/2026;0
21/06/2026;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2026-06;DEMO202606000420;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/06/2026;21/06/2026;0
21/06/2026;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT DUPLICATE DEMO;DEMO202606000441;INTENTIONAL DUPLICATE FOR DEMONSTRATION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/06/2026;21/06/2026;0
21/06/2026;MONOPRIX;CARD MONOPRIX PURCHASE 200626;DEMO202606000427;;Card Payment;Food;Supermarket;-68,40;;20/06/2026;21/06/2026;0
20/06/2026;FREELANCE ASSIGNMENT DEMO;SEPA TRANSFER FREELANCE ASSIGNMENT DEMO;DEMO202606000411;QUARTERLY ASSIGNMENT 2026-06;Incoming Bank Transfer;Salary & Income;Additional Income;;+638,85;20/06/2026;20/06/2026;0
19/06/2026;GROUP REFUND DEMO;SEPA TRANSFER GROUP REFUND DEMO;DEMO202606000434;FICTIONAL EXPENSE SHARING;Incoming Bank Transfer;Transfers;Reimbursement Between Friends & Family;;+48,01;19/06/2026;19/06/2026;0
19/06/2026;OPENAI CHATGPT;CARD OPENAI CHATGPT 2026-06;DEMO202606000419;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/06/2026;19/06/2026;0
18/06/2026;BANK FEES;DEMO PACKAGE FEE;DEMO202606000422;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/06/2026;18/06/2026;0
18/06/2026;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202606000423;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/06/2026;18/06/2026;0
17/06/2026;NETFLIX;CARD NETFLIX 2026-06;DEMO202606000418;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/06/2026;17/06/2026;0
15/06/2026;INTERMARCHE;CARD INTERMARCHE PURCHASE 140626;DEMO202606000426;;Card Payment;Food;Supermarket;-72,30;;14/06/2026;15/06/2026;0
15/06/2026;SPOTIFY;CARD SPOTIFY 2026-06;DEMO202606000417;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Music;-11,12;;14/06/2026;15/06/2026;0
14/06/2026;AMAZON DEMO;CARD AMAZON DEMO PURCHASE 130626;DEMO202606000433;;Card Payment;Shopping & Services;Shopping & Services - Other;-126,03;;13/06/2026;14/06/2026;0
12/06/2026;SERENITY INSURANCE;SEPA DIRECT DEBIT SERENITY INSURANCE 2026-06;DEMO202606000416;DEMO SUBSCRIPTION;Direct Debit;Banking & Insurance;Home Insurance;-38,60;;12/06/2026;12/06/2026;0
11/06/2026;MOBILE NOVA;SEPA DIRECT DEBIT MOBILE NOVA 2026-06;DEMO202606000415;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Mobile Phone;-14,99;;11/06/2026;11/06/2026;0
11/06/2026;UBER;CARD UBER TRIP PURCHASE 100626;DEMO202606000431;;Card Payment;Transportation;Taxi & Ride-Hailing;-24,65;;10/06/2026;11/06/2026;0
09/06/2026;NOVA FIBER;SEPA DIRECT DEBIT NOVA FIBER 2026-06;DEMO202606000414;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Internet;-29,99;;09/06/2026;09/06/2026;0
09/06/2026;INTERMARCHE;CARD INTERMARCHE PURCHASE 080626;DEMO202606000425;;Card Payment;Food;Supermarket;-51,15;;08/06/2026;09/06/2026;0
