Date de comptabilisation;Libelle simplifie;Libelle operation;Reference;Informations complementaires;Type operation;Categorie;Sous categorie;Debit;Credit;Date operation;Date de valeur;Pointage operation
28/06/2026;ATELIER HORIZON DEMO;VIR SEPA ATELIER HORIZON SALAIRE 2026-06;DEMO202606000410;SALAIRE NET 2026-06 DONNEES FICTIVES;Virement recu;Salaire et revenus;Salaire;;+2980,00;28/06/2026;28/06/2026;0
27/06/2026;INTERMARCHE;CB INTERMARCHE FACT 260626;DEMO202606000428;;Carte bancaire;Alimentation;Supermarche;-47,34;;26/06/2026;27/06/2026;0
26/06/2026;UBER;CB UBER TRIP FACT 250626;DEMO202606000432;;Carte bancaire;Transport;Taxi et VTC;-11,97;;25/06/2026;26/06/2026;0
24/06/2026;NAVIGO;PRLV SEPA NAVIGO 2026-06;DEMO202606000421;ABONNEMENT DEMO;Prelevement;Transport;Transports en commun;-86,40;;24/06/2026;24/06/2026;0
23/06/2026;BISTROT CENTRAL;CB BISTROT CENTRAL FACT 220626;DEMO202606000430;;Carte bancaire;Alimentation;Restaurants et cafes;-41,26;;22/06/2026;23/06/2026;0
21/06/2026;BASIC FIT;PRLV SEPA BASIC FIT 2026-06;DEMO202606000420;ABONNEMENT DEMO;Prelevement;Sante et bien-etre;Sport;-24,99;;21/06/2026;21/06/2026;0
21/06/2026;BASIC FIT;PRLV SEPA BASIC FIT DOUBLE DEMO;DEMO202606000441;DOUBLON VOLONTAIRE POUR DEMONSTRATION;Prelevement;Sante et bien-etre;Sport;-24,99;;21/06/2026;21/06/2026;0
21/06/2026;MONOPRIX;CB MONOPRIX FACT 200626;DEMO202606000427;;Carte bancaire;Alimentation;Supermarche;-68,40;;20/06/2026;21/06/2026;0
20/06/2026;MISSION FREELANCE DEMO;VIR SEPA MISSION FREELANCE DEMO;DEMO202606000411;MISSION TRIMESTRIELLE 2026-06;Virement recu;Salaire et revenus;Revenus complementaires;;+638,85;20/06/2026;20/06/2026;0
19/06/2026;REMBOURSEMENT GROUPE DEMO;VIR SEPA REMBOURSEMENT GROUPE DEMO;DEMO202606000434;PARTAGE DE DEPENSES FICTIF;Virement recu;Virements;Remboursement entre proches;;+48,01;19/06/2026;19/06/2026;0
19/06/2026;OPENAI CHATGPT;CB OPENAI CHATGPT 2026-06;DEMO202606000419;ABONNEMENT DEMO;Carte bancaire;Shopping et services;Services numeriques;-23,00;;18/06/2026;19/06/2026;0
18/06/2026;COTISATIONS BANCAIRES;COTISATION BOUQUET DEMO;DEMO202606000422;;Frais bancaires;Banque et assurances;Frais bancaires;-9,90;;18/06/2026;18/06/2026;0
18/06/2026;REMISE COTISATIONS;REMISE SERVICES BOUQUET DEMO;DEMO202606000423;;Frais bancaires;Banque et assurances;Frais bancaires;;+4,95;18/06/2026;18/06/2026;0
17/06/2026;NETFLIX;CB NETFLIX 2026-06;DEMO202606000418;ABONNEMENT DEMO;Carte bancaire;Loisirs et vacances;Video;-13,49;;16/06/2026;17/06/2026;0
15/06/2026;INTERMARCHE;CB INTERMARCHE FACT 140626;DEMO202606000426;;Carte bancaire;Alimentation;Supermarche;-72,30;;14/06/2026;15/06/2026;0
15/06/2026;SPOTIFY;CB SPOTIFY 2026-06;DEMO202606000417;ABONNEMENT DEMO;Carte bancaire;Loisirs et vacances;Musique;-11,12;;14/06/2026;15/06/2026;0
14/06/2026;AMAZON DEMO;CB AMAZON DEMO FACT 130626;DEMO202606000433;;Carte bancaire;Shopping et services;Shopping et services - autre;-126,03;;13/06/2026;14/06/2026;0
12/06/2026;ASSURANCE SERENITE;PRLV SEPA ASSURANCE SERENITE 2026-06;DEMO202606000416;ABONNEMENT DEMO;Prelevement;Banque et assurances;Assurance habitation;-38,60;;12/06/2026;12/06/2026;0
11/06/2026;MOBILE NOVA;PRLV SEPA MOBILE NOVA 2026-06;DEMO202606000415;ABONNEMENT DEMO;Prelevement;Telephonie et internet;Telephone mobile;-14,99;;11/06/2026;11/06/2026;0
11/06/2026;UBER;CB UBER TRIP FACT 100626;DEMO202606000431;;Carte bancaire;Transport;Taxi et VTC;-24,65;;10/06/2026;11/06/2026;0
09/06/2026;FIBRE NOVA;PRLV SEPA FIBRE NOVA 2026-06;DEMO202606000414;ABONNEMENT DEMO;Prelevement;Telephonie et internet;Internet;-29,99;;09/06/2026;09/06/2026;0
09/06/2026;INTERMARCHE;CB INTERMARCHE FACT 080626;DEMO202606000425;;Carte bancaire;Alimentation;Supermarche;-51,15;;08/06/2026;09/06/2026;0
07/06/2026;ENERGIE CLAIRE;PRLV SEPA ENERGIE CLAIRE 2026-06;DEMO202606000413;NOUVEAU TARIF ENERGIE DEMO;Prelevement;Logement et immobilier;Electricite, gaz et eau;-98,00;;07/06/2026;07/06/2026;0
07/06/2026;BISTROT CENTRAL;CB BISTROT CENTRAL FACT 060626;DEMO202606000429;;Carte bancaire;Alimentation;Restaurants et cafes;-48,96;;06/06/2026;07/06/2026;0
03/06/2026;RESIDENCE DES LILAS;VIR SEPA LOYER 2026-06;DEMO202606000412;LOYER ET CHARGES DONNEES FICTIVES;Virement;Logement et immobilier;Loyer et charges;-820,00;;03/06/2026;03/06/2026;0
03/06/2026;CARREFOUR CITY;CB CARREFOUR CITY FACT 020626;DEMO202606000424;;Carte bancaire;Alimentation;Supermarche;-105,70;;02/06/2026;03/06/2026;0
